netflix_url,casts,image_url,id,mood_tag,name,index,synopsis,genres,creators
https://www.netflix.com/title/81040344,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABS3om16T6zfR1N1qCSNpHAatBKJuiLulRr7IsbUAWS_IWxkVtdtOlI0QZLmluo1_UWh4P6i_iK4115PC38WCI2fTdwL4aO3D0fE49LMjoSHNPd8C11srecK0BrEp.jpg?r=f9b,81040344,Suspenseful,Squid Game,0,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.","Korean, TV Thrillers, TV Dramas",Hwang Dong-hyuk
https://www.netflix.com/title/80211991,"Penn Badgley, Victoria Pedretti, Elizabeth Lail",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZj-ZuKy0Q7hSc8roCYUf7AdGxq-sUaHvH35wPHhABi4kyd0njTEJSHM-hdczy9-h-x6JCPTZ3Ux9BSA38O1bzCPZr1ZNu6J22U-QbReKtBLu0prjscOhYN1V_2Daw8lbJbHI6GnrYr6hufF2_LCbV5McDgoGQ.jpg?r=f45,80211991,"Dark, Suspenseful",You,1,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","TV Shows Based on Books, TV Thrillers, TV Dramas","Greg Berlanti, Sera Gamble"
https://www.netflix.com/title/81166770,"Margaret Qualley, Andie MacDowell, Nick Robinson",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABVuSSULDzjhDUaMWt6WHp_nxjQm5bLn4jKEVG254RR0VVm1Z1_irs47QbDelaQ7y71Uo8qJRU5fL3FJrAN8OARtEbpPLIFR9Z6JeNCiXo1H2xAJ0jAqicfX3QUBO.jpg?r=58d,81166770,"Intimate, Emotional",Maid,2,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.","TV Shows Based on Books, Social Issue TV Dramas, TV Dramas",Molly Smith Metzler
https://www.netflix.com/title/81077494,"Jonathan Majors, Idris Elba, Regina King",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABRuUi0fX0asDXW3CuAhm-zpG4I5DlAdWt1NRiZFFXc0DozlJmJGo2fo5Rgl1kVWrylEHBdeR2bXdxTsZTE47CWRmzpAyY92yeJrDNczvqiP_JqToACG_XnLW4PW1.jpg?r=dbb,81077494,"Provocative, Witty",The Harder They Fall,3,"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.","Westerns, Action & Adventure, Dramas",
https://www.netflix.com/title/80063224,"Paul Hollywood, Prue Leith, Noel Fielding",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZZ_5HGu2hrv7xPQAukQ5cOURS13BX9hrtE39jZpk6u0Xww6L50NDXMTYYzUK5obrwJGoVLT0lsww7ozRsY626zJgaVPKA42juXWLZOq0Xt7qq5BIJdTiGSV5qrZJzixA8-EIbFmOGeZf2NqQlqmKtqVqKv2qg.jpg?r=5b7,80063224,Feel-Good,The Great British Baking Show,4,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.","British, Food & Travel TV, Competition Reality TV, Family Watch Together TV, Reality TV",
https://www.netflix.com/title/81002370,"Ralph Macchio, William Zabka, Xolo Maridueña",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXxTnIX0G41UviehfvgOJkHYqq6GV3rMWqZhXwY7vqwZDzRZXYVqmhC-rg2nDR3BsB6HljF-IIId-klcADSRgCqUd41n5HDbkMQbu5aYWu-ldCsaKXt-nvscvxdg.jpg?r=4ce,81002370,"Heartfelt, Feel-Good, Exciting",Cobra Kai,5,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.","TV Dramas, TV Comedies","Josh Heald, Jon Hurwitz, Hayden Schlossberg"
https://www.netflix.com/title/80057281,"Winona Ryder, David Harbour, Finn Wolfhard",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZfgHZMIuwHVuG033KMYHRi5sxkjPIfVxmoE-wfGl0_H7DPPdRNIyK4P1wlkD57yzra97xGQi1vX6zXL_kicQHrBylVcSUNFYhZm-7zZCyIW0D6_9391sHA8oseG.jpg?r=0dc,80057281,"Ominous, Scary, Exciting",Stranger Things,6,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","Sci-Fi TV, Teen TV Shows, TV Horror",The Duffer Brothers
https://www.netflix.com/title/81086631,"Nina Dobrev, Jimmy O. Yang, Darren Barnet",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABfWfci4hhMP35ueaEnXhpUHASv9fHOJCow8a41ceX-NHwgevxfsu1_2dCHlpKPaDkX787QTtte67usP8j8KWoDNLnfpbmbY8k0Mcc6DhBgqb77bUSYszK1NkMOse.jpg?r=9d5,81086631,"Charming, Feel-Good, Romantic",Love Hard,7,"After meeting her perfect match on a dating app, an LA writer learns she's been catfished when she flies 3,000 miles to surprise him for Christmas.","Romantic Comedies, Comedies, Romantic Movies",
https://www.netflix.com/title/80117809,"Sierra Capri, Jason Genao, Brett Gray",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABUqcbzPlc-v0HVtQ7K6JuTWtzdZRJStS1yLqjv97LOF6BJn3B5lgtNcfh2HcxmV5XL1OB-BNllDm_Ae5udE9xKwmDEyhzkErMIam8Zj7vbDpdSSyF0p136d7oDP-.jpg?r=f2c,80117809,"Witty, Emotional, Romantic",On My Block,8,"In a rough Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school.","Romantic TV Dramas, Romantic TV Comedies, Teen TV Shows, TV Dramas, TV Comedies","Lauren Iungerich, Eddie Gonzalez, Jeremy Haft"
https://www.netflix.com/title/70269479,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABUOqwSp4cvI8pdgmleKbwu8V15zc7mPDbWjXhlGrwi7xd-BPzm36SlVUErIuNiEfh6XO7Mv99F1ygPsZF9_w0kTGOh6w-DXsDUO2l8bEg4u3EL5cAPSBL8ZA-LSj.jpg?r=6c6,70269479,"Understated, Dark",Longmire,9,This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,"Crime TV Shows, TV Shows Based on Books, TV Dramas","John Coveny, Hunt Baldwin"
https://www.netflix.com/title/80057918,"Tom Ellis, Lauren German, Kevin Alejandro",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABTbMBcv-bUXlAOGWZyKO3ueIrpqQO9r3HHYJ58Qz7VDSg09xd9zarXjlWnuT_VmLGPEIF7nCSXPNDvU6G-zCc9_HBhMHMliWUuoGdoB3-gP79jLmsWKoQtsLmkxL.jpg?r=31e,80057918,"Irreverent, Exciting",Lucifer,10,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Crime TV Shows, Fantasy TV Shows, TV Shows Based on Comics, TV Dramas",
https://www.netflix.com/title/80051137,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABS8A_wx_-8PwzJOS7Ww3cABKAkJBahVoFxVO1nXzQrTEpedLGLm0x0bQ0FiVDAv5bF3Cmp5hV2qRFK0F4xfrkBXVOEQV7qDeDI0c0Com7TqwaFRa9hs97ND-yYz6.jpg?r=399,80051137,"Heartfelt, Feel-Good",Fuller House,11,The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.,"Sitcoms, Family Watch Together TV, TV Comedies",Jeff Franklin
https://www.netflix.com/title/80244283,"Zoe Saldaña, Gabriel Iglesias, Diego Luna",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZsXetLkj32wBYXLkWaZ6vgZLiU6JAEi6KCLOQIxmGqkEtblGrqMbMpCnZ0f1T4iTMhQS87sh-eTF_IZQPT2w9yasjwjiihB7QR40tlwOuI8kYGA0YIO6P0PbmLm.jpg?r=fa9,80244283,Exciting,Maya and the Three,12,A spirited princess with the heart of a warrior embarks on a mission to fulfill an ancient prophecy and save humanity from the wrath of vengeful gods.,"Kids' TV, TV Cartoons, Fantasy TV Shows, Family Watch Together TV",Jorge R. Gutiérrez
https://www.netflix.com/title/80240027,"Alexandra Breckenridge, Martin Henderson, Tim Matheson",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABb00IIQDfyi3VxJ7pFn6Rgfat53_3i2LepYkj5CqKL__8-x5if7u07UsPyVgN4xBnIA6_lHBvUBclt-2pZWwFLEnDgOQnBygT-eS2nzw-ZqRBMkFkGmZ5_hLRP25.jpg?r=22d,80240027,"Heartfelt, Intimate, Emotional, Romantic",Virgin River,13,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what -- and who -- she finds.","Medical TV Shows, Romantic TV Dramas, TV Shows Based on Books, TV Dramas",Sue Tenney
https://www.netflix.com/title/80025678,"Olivia Colman, Helena Bonham Carter, Tobias Menzies",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABffOr4y4H40p3evdbBVrLnQmwbGe_HQK7E_Ys_CUSG_dcX7eLpCe8uzRoFzxOERdv4kByL18U83z8i5TG5-X7DYUbsfZr4ODaozyHQVzfrvs42vpJPRAlpsHthZK.jpg?r=d3b,80025678,Intimate,The Crown,14,This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,"British, Political TV Shows, TV Dramas",Peter Morgan
https://www.netflix.com/title/80002479,"Cillian Murphy, Sam Neill, Helen McCrory",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABa4N_UskeG8z0GZWjLe_0WSMvusdEt6k2UrhYXPwxqUV_y-y46C0RzNtH8iGmcTGtw6q1dFiWloRqPGCNbfTNBY7LL22GfpoFrQ0V32pUADAX5t5A7MiqeIgv2RB.jpg?r=98c,80002479,Violent,Peaky Blinders,15,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.","Crime TV Shows, British, Period Pieces, TV Dramas",Steven Knight
https://www.netflix.com/title/80997085,"Diego Luna, Michael Peña, Scoot McNairy",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABa1RcMBZc7kU2w8TUHMAZnKa4Sqo4q76NZgDLRZEgSeIH243MrRKmWueSnSVsSPxHdphyTInILwd4LgdIJcpYR2yzciLJS-YN6VVOgyf4fmHB1BMeoQXUsCSRjsOYOgzeU66RbEdgI9WGGjyfDGT8HqN1AcodA.jpg?r=70d,80997085,"Gritty, Dark, Exciting",Narcos: Mexico,16,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.","Crime TV Shows, TV Thrillers, TV Dramas","Carlo Bernard, Chris Brancato, Doug Miro"
https://www.netflix.com/title/80025172,"Wagner Moura, Pedro Pascal, Boyd Holbrook",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdo9jq_OYRmR48I-bPvHG8F6eIs_t7EJX_1fCewkBjHgdOB8jj1Dyt2NNQ54MuQ2Xi6E3zqf6SSG7cq4ySCKXnMf2LXBOFAJd5JNxYeAEwbMgqsl-zODltW_weCN.jpg?r=9b3,80025172,"Gritty, Dark, Exciting, Suspenseful",Narcos,17,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,"Crime TV Shows, TV Thrillers, TV Dramas","Chris Brancato, Carlo Bernard, Doug Miro"
https://www.netflix.com/title/81264650,,https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABVoNidtEC3Y2ekQjglA9RtxIOW6-G6YFCrsyDbpW89xYqHg0fzWlmR8XMWvcOCPb8NpJ3UXYmEFDjZVs5byO_94kwhX1jK_GYtzZOvVxauVjKhf2bwkiGKoqume7.jpg?r=4d2,81264650,"Investigative, Suspenseful",Catching Killers,18,"The investigators behind infamous serial killer cases reveal the harrowing, chilling details of their extraordinary efforts in this true crime series.","Crime TV Shows, True Crime Documentaries, Docuseries",
